AOA,Weight,Gravity,Pitch,TAS,IAS,Rho,Q,QS,Calculated CL,Lift,Drag,Thrust[0],Thrust[1],Cl,Cd,Wing Surface,,
7.243159,64138.39063,9.793599,8.006047,99.972481,176.703506,1.055566,5274.927117,85269.88259,7.36656,631318.875,36679.34375,76012.375,0,0.778843,0.04525,122,29120.22671,7559.117044
7.230675,64138.33594,9.793597,7.997699,100.007027,176.752502,1.055563,5278.557793,85328.57294,7.361485,630846.125,36639.49609,76096.03125,0,0.777725,0.04517,122,6,
7.216458,64138.29297,9.793597,7.98806,100.046135,176.808594,1.05556,5282.670908,85395.06197,7.355749,630396,36588.73828,76191.39844,0,0.776565,0.045073,122,6,
7.201381,64138.24219,9.793597,7.977691,100.087387,176.868347,1.055556,5287.010313,85465.20902,7.349705,629888.75,36538.91797,76292.95313,76191.39844,0.775303,0.044974,122,6,
7.187772,64138.17578,9.793597,7.968198,100.12455,176.922409,1.055553,5290.92048,85528.41738,7.344266,629353.4375,36500.10156,76384.8125,0,0.774072,0.044893,122,6,
7.174716,64138.125,9.793597,7.958982,100.160095,176.974457,1.05555,5294.661077,85588.88462,7.339072,628888.1875,36460.89063,76473.08594,19.352051,0.772953,0.044813,122,6,
7.161614,64138.07422,9.793597,7.949634,100.195656,177.026855,1.055547,5298.405795,85649.41847,7.333879,628482.5,36422.55078,76561.40625,0,0.771908,0.044735,122,6,
7.147524,64138.02734,9.793597,7.939469,100.233727,177.08342,1.055543,5302.416792,85714.25675,7.328326,628074.8125,36385.13672,76655.77344,0,0.770824,0.044655,122,6,
7.134166,64137.96875,9.793597,7.929718,100.269722,177.137192,1.05554,5306.208457,85775.54951,7.323083,627570.1875,36344.19531,76744.17969,0,0.769655,0.044573,122,6,
7.120375,64137.92188,9.793597,7.919538,100.306808,177.192947,1.055537,5310.118176,85838.75063,7.317685,627114.4375,36299.51563,76834.625,0,0.768529,0.044485,122,6,
7.106886,64137.86719,9.793597,7.90947,100.342995,177.24765,1.055533,5313.93337,85900.42374,7.312425,626607.6875,36256.07031,76921.64844,0,0.767357,0.0444,122,6,
7.093595,64137.81641,9.793597,7.899449,100.378578,177.301773,1.05553,5317.687263,85961.10591,7.307258,626176.1875,36216.30859,77005.83594,0,0.766287,0.04432,122,6,
7.080406,64137.76563,9.793597,7.8894,100.413849,177.355652,1.055527,5321.408716,86021.26367,7.302142,625679.375,36172.39063,77087.70313,0,0.765144,0.044235,122,6,
7.066676,64137.71875,9.793597,7.878835,100.450516,177.412048,1.055524,5325.27889,86083.82554,7.296829,625208.3125,36126.02734,77171.125,0,0.764012,0.044146,122,6,
7.052794,64137.66797,9.793597,7.868038,100.487595,177.469406,1.05552,5329.194157,86147.11634,7.291463,624658.5625,36076.60156,77253.60156,76834.625,0.762779,0.044054,122,6,
7.03899,64137.61328,9.793597,7.857192,100.524506,177.526779,1.055517,5333.092438,86210.13256,7.286127,624138.4375,36030.28516,77333.66406,0,0.761587,0.043965,122,6,
7.025828,64137.5625,9.793597,7.846759,100.559692,177.581711,1.055514,5336.810321,86270.23262,7.281045,623683.875,35991.625,77408.03906,0,0.760502,0.043887,122,6,
7.012102,64137.51172,9.793596,7.835782,100.596413,177.639359,1.05551,5340.691712,86332.97581,7.275747,623213.375,35945.25391,77483.85156,0,0.759376,0.043799,122,6,
6.997241,64137.46484,9.793596,7.823777,100.636238,177.702301,1.055507,5344.90373,86401.06364,7.270008,622650.875,35889.30078,77564.24219,0,0.758093,0.043696,122,6,
6.983224,64137.40625,9.793596,7.812345,100.673882,177.762009,1.055503,5348.884925,86465.42017,7.26459,622125.75,35846.91016,77638.16406,0,0.75689,0.043612,122,6,
6.968661,64137.35547,9.793596,7.800365,100.71302,177.824448,1.0555,5353.026548,86532.37004,7.258964,621642.625,35799.67969,77713.5625,0,0.755717,0.043521,122,6,
6.954788,64134.91406,9.793596,7.788842,100.750443,177.884338,1.055496,5356.987815,86596.40444,7.25332,621064.6875,35752.66797,77783.84375,0,0.754456,0.043432,122,6,
6.940568,64137.25,9.793596,7.776928,100.788902,177.946198,1.055493,5361.06031,86662.23685,7.248074,620573.1875,35705.82422,77854.67969,0,0.753286,0.043342,122,6,
6.92608,64137.19531,9.793596,7.764682,100.828224,178.00975,1.055489,5365.226088,86729.57719,7.24244,620053.25,35657.66797,77925.57031,0,0.752071,0.04325,122,6,
6.911922,64137.14063,9.793596,7.752594,100.86689,178.072479,1.055486,5369.323616,86795.81426,7.236907,619421.5625,35604.90625,77993.85938,0,0.750731,0.043153,122,6,
6.898355,64137.08203,9.793596,7.740923,100.904121,178.133072,1.055482,5373.269933,86859.60699,7.231586,618958.8125,35564.97656,78058.21094,43.241211,0.74962,0.043073,122,6,
6.884675,64137.03516,9.793596,7.729067,100.941788,178.194656,1.055479,5377.264626,86924.18172,7.226208,618510.5,35522.55469,78122.15625,0,0.74852,0.042989,122,6,
6.871189,64136.98047,9.793596,7.717282,100.979149,178.255905,1.055475,5381.228264,86988.25445,7.220879,617996.625,35477.01563,78184.22656,0,0.747347,0.042903,122,6,
6.856489,64136.93359,9.793596,7.704326,101.020103,178.323486,1.055472,5385.575882,87058.53425,7.215045,617437.75,35420.75,78251.50781,0,0.746069,0.0428,122,6,
6.843475,64136.87109,9.793596,7.692772,101.056587,178.383698,1.055468,5389.447753,87121.12356,7.209854,617001.875,35388.74609,78309.91406,0,0.745007,0.042731,122,6,
6.829826,64136.82422,9.793596,7.680574,101.094978,178.447372,1.055464,5393.525737,87187.0447,7.204398,616592.5,35345.89063,78370.72656,0,0.743949,0.042647,122,6,
6.81559,64136.76953,9.793596,7.667758,101.135162,178.514313,1.055461,5397.795411,87256.06454,7.198693,616142.1875,35300.50391,78433.3125,0,0.742818,0.042558,122,6,
6.802732,64136.71094,9.793594,7.656082,101.171684,178.575241,1.055457,5401.676314,87318.79984,7.193513,615608.875,35260.19141,78488.92188,0,0.741642,0.042479,122,6,
6.788482,64136.66797,9.793594,7.643058,101.212311,178.643356,1.055454,5405.997065,87388.64533,7.187759,615191.25,35212.64844,78550.125,0,0.740546,0.042388,122,6,
6.77514,64136.60547,9.793594,7.630775,101.250511,178.707504,1.05545,5410.059644,87454.31745,7.182354,614755.875,35176.63672,78606.35156,0,0.739466,0.042313,122,6,
6.762149,64136.55078,9.793594,7.618722,101.287872,178.770401,1.055446,5414.034628,87518.57358,7.177075,614274.625,35134.24219,78660.29688,954.171875,0.738345,0.042231,122,6,
6.749213,64136.49609,9.793594,7.606628,101.325287,178.833557,1.055443,5418.017382,87582.95532,7.171793,613793.375,35090.05078,78713.14844,1,0.737224,0.042146,122,6,
6.736313,64136.44922,9.793594,7.594479,101.362778,178.897034,1.055439,5422.009749,87647.49245,7.166507,613339.5,35048.32813,78765.01563,126.560547,0.736137,0.042065,122,6,
6.723488,64136.39453,9.793594,7.58231,101.400269,178.960663,1.055436,5426.00296,87712.04324,7.161227,612866.625,35004.53906,78815.86719,0,0.735028,0.041982,122,6,
6.710025,64136.34766,9.793594,7.569426,101.439987,179.028305,1.055432,5430.236139,87780.47312,7.155639,612304.5625,34951.875,78868.96094,13.515625,0.733781,0.041886,122,6,
6.69715,64136.29297,9.793594,7.557028,101.47818,179.093475,1.055429,5434.306912,87846.2777,7.150273,611931.6875,34917.75391,78919.07031,0,0.732785,0.041814,122,6,
6.684253,64136.23828,9.793594,7.544509,101.516762,179.15947,1.055425,5438.4215,87912.79055,7.144857,611417.625,34871.63672,78968.92969,0,0.731616,0.041727,122,6,
