ALTITUDE,Mach,Thrust
1000,70000,0.205,90193
1000,70000,0.206,90145
1000,70000,0.207,90102
1000,70000,0.208,90055
1000,70000,0.209,90003
1000,70000,0.21,89948
1000,70000,0.211,89891
1000,70000,0.212,89846
1000,70000,0.213,89782
1000,70000,0.214,89733
1000,70000,0.215,89681
1000,70000,0.216,89629
1000,70000,0.217,89575
1000,70000,0.218,89522
1000,70000,0.219,89467
1000,70000,0.22,89413
1000,70000,0.221,89376
1000,70000,0.222,89319
1000,70000,0.223,89261
1000,70000,0.224,89204
1000,70000,0.225,89167
1000,70000,0.226,89110
1000,70000,0.227,89050
1000,70000,0.228,89011
1000,70000,0.229,88954
1000,70000,0.23,88916
1000,70000,0.231,88857
1000,70000,0.232,88800
1000,70000,0.233,88762
1000,70000,0.234,88706
1000,70000,0.235,88668
1000,70000,0.236,88612
1000,70000,0.237,88556
1000,70000,0.238,88519
1000,70000,0.239,88462
1000,70000,0.24,88426
1000,70000,0.241,88370
1000,70000,0.242,88314
1000,70000,0.243,88277
1000,70000,0.244,88222
1000,70000,0.245,88185
1000,70000,0.246,88130
1000,70000,0.247,88093
1000,70000,0.248,88036
1000,70000,0.249,87998
1000,70000,0.25,87942
1000,70000,0.251,87905
1000,70000,0.252,87850
1000,70000,0.253,87813
1000,70000,0.254,87756
1000,70000,0.255,87720
1000,70000,0.256,87664
1000,70000,0.257,87628
1000,70000,0.258,87571
1000,70000,0.259,87534
1000,70000,0.26,87497
1000,70000,0.261,87439
1000,70000,0.262,87401
1000,70000,0.263,87362
1000,70000,0.264,87303
1000,70000,0.265,87264
1000,70000,0.266,87223
1000,70000,0.267,87184
1000,70000,0.268,87123
1000,70000,0.269,87082
1000,70000,0.27,87040
1000,70000,0.271,86998
1000,70000,0.272,86955
1000,70000,0.273,86914
1000,70000,0.274,86871
1000,70000,0.275,86829
1000,70000,0.276,86787
1000,70000,0.277,86745
1000,70000,0.278,86703
1000,70000,0.279,86662
1000,70000,0.28,86618
1000,70000,0.281,86576
1000,70000,0.282,86534
1000,70000,0.283,86513
1000,70000,0.284,86471
1000,70000,0.285,86429
1000,70000,0.286,86389
1000,70000,0.287,86348
1000,70000,0.288,86308
1000,70000,0.289,86268
1000,70000,0.29,86229
1000,70000,0.291,86189
1000,70000,0.292,86149
1000,70000,0.293,86108
1000,70000,0.294,86067
1000,70000,0.295,86028
1000,70000,0.296,85989
1000,70000,0.297,85950
1000,70000,0.298,85912
1000,70000,0.299,85873
1000,70000,0.3,85835
1000,70000,0.301,85797
1000,70000,0.302,85760
1000,70000,0.303,85722
1000,70000,0.304,85685
1000,70000,0.305,85648
1000,70000,0.306,85612
1000,70000,0.307,85575
1000,70000,0.308,85539
1000,70000,0.309,85520
1000,70000,0.31,85484
1000,70000,0.311,85448
1000,70000,0.312,85411
1000,70000,0.313,85374
1000,70000,0.314,85336
1000,70000,0.315,85300
1000,70000,0.316,85262
1000,70000,0.317,85227
1000,70000,0.318,85191
1000,70000,0.319,85172
1000,70000,0.32,85136
1000,70000,0.321,85100
1000,70000,0.322,85066
1000,70000,0.323,85029
1000,70000,0.324,84994
1000,70000,0.325,84959
1000,70000,0.326,84926
1000,70000,0.327,84891
1000,70000,0.328,84874
1000,70000,0.329,84839
1000,70000,0.33,84805
1000,70000,0.331,84771
1000,70000,0.332,84738
1000,70000,0.333,84704
1000,70000,0.334,84671
1000,70000,0.335,84638
