Mass,Altitude,Pressure,Density,Temperature,Cas,Tas,Vy,VS,Drag,Thrust,T-D,Pitch,FPA,AOA,Q,AccelerationX,AccelerationY,DistanceX,Dx,Dy,Phase,Cd,Cd0,Gear,Flaps,Cl,Lift,Weight,L-W
75500,0.0,0.0,0.0,0.0,92.9,92.89999998747582,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7559.117044,False,2,0.0,0.0,0.0,0.0
75500,-0.0003835352424269057,101324.9985008625,1.225,288.15,92.88130908170359,92.88130906918695,-0.046024229091228684,-9.059887616383598,48059.30095238006,207047.06226381287,-32128.02325581247,15.0,-0.01419407604411187,15.014194076044111,10572.252247149436,-1.1214550973323543,-2.761453745473721,1.5481775754721898,1.5481775754721898,-0.0003835352424269057,T/O C,0.0628,7559.117044,False,2,0.5829,506018.0159266678,738414.6884999999,-207235.80220667965
75500,-0.00013015316667358193,101325.00310917638,1.2250000451153424,288.15000249297907,92.89453916623717,92.89453748160783,0.07643007818162753,15.04529098063534,114882.15776291843,207053.08178556495,-98944.86054459876,15.0,0.009377574330467908,14.990622425669532,10567.998917854386,0.7937047452524912,7.347258436371374,3.096309630062146,1.5481320545899566,0.0002533820757533238,T/O C,0.16648318416968694,7559.117044,False,2,1.8365852053496834,1314052.3582236525,738414.6884999999,600798.540090305
75500,0.002162554847047432,101325.00006469953,1.2250000153099474,288.1500008459956,92.90774761676434,92.90774703672872,0.19869488346489417,39.113166036396485,114716.6218338574,207048.82152771906,-98783.58487338362,15.0,0.08484011733735189,14.915159882662648,10571.00912216984,0.7925733072535623,7.335888316995997,4.6446620010482835,1.5483523709861378,0.002292708013721014,T/O C,0.16617906446669709,7559.117044,False,2,1.8346169725434063,1313120.4178990817,738414.6884999999,599866.5997657343
75500,0.0064866666805517715,101324.97251699175,1.2249997456181834,288.14998594339346,92.92086026357146,92.92086968172742,0.3201985365556266,63.031207983391056,114121.00977107362,207044.56087403488,-98192.23346428401,15.0,0.15998787613928891,14.840012123860712,10574.013392029403,0.787358699922321,7.290219185443944,6.193233807035418,1.5485718059871345,0.00432411183350434,T/O C,0.1652084416245521,7559.117044,False,2,1.8283158502023311,1309392.3133788435,738414.6884999999,596138.495245496
75500,0.012829515910717905,101324.92056125616,1.2249992369720508,288.14995783666654,92.93387678494213,92.93390506390706,0.4409433710643095,86.7998761937617,113530.36058036642,207040.32176135312,-97605.82338625859,15.0,0.23464543845956817,14.765354561540432,10576.996239247417,0.7821229307782593,7.244690070520973,7.7420235965823725,1.548789789546954,0.006342849230166134,T/O C,0.1642463948460078,7559.117044,False,2,1.8220410123423694,1305676.4770532877,738414.6884999999,592422.6589199402
75500,0.021178491187269118,101324.8443497146,1.22499849086173,288.14991660814655,92.94679712108739,92.94685307173289,0.5609336621218358,110.42001222870783,112946.08441547203,207036.1043426356,-97025.7646400817,15.0,0.30881501832057145,14.691184981679429,10579.957586282771,0.7768804695494502,7.199417463451582,9.291029914379372,1.5490063177969995,0.00834897527655121,T/O C,0.16329509723658753,7559.117044,False,2,1.8158071058886263,1301982.3920755247,738414.6884999999,588728.5739421772
75500,0.031521052309798944,101324.74403394097,1.2249975087710265,288.14986233980727,92.95962122173366,92.95971360334744,0.6801736725817435,133.89245523262667,112368.1158350035,207031.90869300227,-96451.9917092465,15.0,0.3824994300802653,14.617500569919734,10582.897410504609,0.7716318968732254,7.154400627594466,10.840251303338375,1.5492213889590027,0.010342561122529828,T/O C,0.16235443294988078,7559.117044,False,2,1.8096139459702325,1298309.9833121055,738414.6884999999,585056.1651787581
75500,0.043844729967369475,101324.61976466775,1.2249962921754778,288.14979511315994,92.97234904510903,92.97248656562996,0.7986676463267199,157.21804061549605,111796.38508472957,207027.73488421526,-95884.4347677596,15.0,0.45570148372481,14.54429851627519,10585.815691493483,0.7663777369518068,7.10963842469858,12.38968630474652,1.549435001408145,0.01232367765757053,T/O C,0.16142427967756928,7559.117044,False,2,1.803461297588298,1294659.1430836956,738414.6884999999,581405.3249503481
75500,0.05813712542200025,101324.47169178912,1.2249948425423833,288.1497150092552,92.98498055780271,92.98517187404977,0.9164198082289736,180.39760004507355,111230.82309469479,207023.58298498372,-95323.02467695635,15.0,0.5284239825441964,14.471576017455803,10588.71241082885,0.7611185051881755,7.065129714135222,13.939333458410518,1.5496471536639977,0.014292395454630779,T/O C,0.16050451639685756,7559.117044,False,2,1.7973489261089783,1291029.7637092827,738414.6884999999,577775.9455759353
