AOA,Weight,Gravity,Pitch,TAS,IAS,Rho,Q,QS,Calculated CL,Lift,Drag,Thrust[0],Thrust[1],Cl,Cd,Wing Surface
7.243159,64138.390625,9.793599,8.006047,99.972481,176.703506,1.055566,5274.927117,85269.882592,7.366560,631318.875000,36679.343750,76012.375000,0.000000,0.778843,0.045250,16.165130
7.230675,64138.335938,9.793597,7.997699,100.007027,176.752502,1.055563,5278.557793,85328.572936,7.361485,630846.125000,36639.496094,76096.031250,0.000000,0.777725,0.045170,16.165130
7.216458,64138.292969,9.793597,7.988060,100.046135,176.808594,1.055560,5282.670908,85395.061974,7.355749,630396.000000,36588.738281,76191.398438,0.000000,0.776565,0.045073,16.165130
7.201381,64138.242188,9.793597,7.977691,100.087387,176.868347,1.055556,5287.010313,85465.209017,7.349705,629888.750000,36538.917969,76292.953125,76191.398438,0.775303,0.044974,16.165130
7.187772,64138.175781,9.793597,7.968198,100.124550,176.922409,1.055553,5290.920480,85528.417377,7.344266,629353.437500,36500.101562,76384.812500,0.000000,0.774072,0.044893,16.165130
7.174716,64138.125000,9.793597,7.958982,100.160095,176.974457,1.055550,5294.661077,85588.884621,7.339072,628888.187500,36460.890625,76473.085938,19.352051,0.772953,0.044813,16.165130
7.161614,64138.074219,9.793597,7.949634,100.195656,177.026855,1.055547,5298.405795,85649.418472,7.333879,628482.500000,36422.550781,76561.406250,0.000000,0.771908,0.044735,16.165130
7.147524,64138.027344,9.793597,7.939469,100.233727,177.083420,1.055543,5302.416792,85714.256753,7.328326,628074.812500,36385.136719,76655.773438,0.000000,0.770824,0.044655,16.165130
7.134166,64137.968750,9.793597,7.929718,100.269722,177.137192,1.055540,5306.208457,85775.549512,7.323083,627570.187500,36344.195312,76744.179688,0.000000,0.769655,0.044573,16.165130
7.120375,64137.921875,9.793597,7.919538,100.306808,177.192947,1.055537,5310.118176,85838.750632,7.317685,627114.437500,36299.515625,76834.625000,0.000000,0.768529,0.044485,16.165130
7.106886,64137.867188,9.793597,7.909470,100.342995,177.247650,1.055533,5313.933370,85900.423743,7.312425,626607.687500,36256.070312,76921.648438,0.000000,0.767357,0.044400,16.165130
7.093595,64137.816406,9.793597,7.899449,100.378578,177.301773,1.055530,5317.687263,85961.105913,7.307258,626176.187500,36216.308594,77005.835938,0.000000,0.766287,0.044320,16.165130
7.080406,64137.765625,9.793597,7.889400,100.413849,177.355652,1.055527,5321.408716,86021.263674,7.302142,625679.375000,36172.390625,77087.703125,0.000000,0.765144,0.044235,16.165130
7.066676,64137.718750,9.793597,7.878835,100.450516,177.412048,1.055524,5325.278890,86083.825542,7.296829,625208.312500,36126.027344,77171.125000,0.000000,0.764012,0.044146,16.165130
7.052794,64137.667969,9.793597,7.868038,100.487595,177.469406,1.055520,5329.194157,86147.116338,7.291463,624658.562500,36076.601562,77253.601562,76834.625000,0.762779,0.044054,16.165130
7.038990,64137.613281,9.793597,7.857192,100.524506,177.526779,1.055517,5333.092438,86210.132561,7.286127,624138.437500,36030.285156,77333.664062,0.000000,0.761587,0.043965,16.165130
7.025828,64137.562500,9.793597,7.846759,100.559692,177.581711,1.055514,5336.810321,86270.232620,7.281045,623683.875000,35991.625000,77408.039062,0.000000,0.760502,0.043887,16.165130
7.012102,64137.511719,9.793596,7.835782,100.596413,177.639359,1.055510,5340.691712,86332.975813,7.275747,623213.375000,35945.253906,77483.851562,0.000000,0.759376,0.043799,16.165130
6.997241,64137.464844,9.793596,7.823777,100.636238,177.702301,1.055507,5344.903730,86401.063640,7.270008,622650.875000,35889.300781,77564.242188,0.000000,0.758093,0.043696,16.165130
6.983224,64137.406250,9.793596,7.812345,100.673882,177.762009,1.055503,5348.884925,86465.420169,7.264590,622125.750000,35846.910156,77638.164062,0.000000,0.756890,0.043612,16.165130
6.968661,64137.355469,9.793596,7.800365,100.713020,177.824448,1.055500,5353.026548,86532.370041,7.258964,621642.625000,35799.679688,77713.562500,0.000000,0.755717,0.043521,16.165130
6.954788,64134.914062,9.793596,7.788842,100.750443,177.884338,1.055496,5356.987815,86596.404442,7.253320,621064.687500,35752.667969,77783.843750,0.000000,0.754456,0.043432,16.165130
6.940568,64137.250000,9.793596,7.776928,100.788902,177.946198,1.055493,5361.060310,86662.236853,7.248074,620573.187500,35705.824219,77854.679688,0.000000,0.753286,0.043342,16.165130
6.926080,64137.195312,9.793596,7.764682,100.828224,178.009750,1.055489,5365.226088,86729.577193,7.242440,620053.250000,35657.667969,77925.570312,0.000000,0.752071,0.043250,16.165130
6.911922,64137.140625,9.793596,7.752594,100.866890,178.072479,1.055486,5369.323616,86795.814257,7.236907,619421.562500,35604.906250,77993.859375,0.000000,0.750731,0.043153,16.165130
6.898355,64137.082031,9.793596,7.740923,100.904121,178.133072,1.055482,5373.269933,86859.606988,7.231586,618958.812500,35564.976562,78058.210938,43.241211,0.749620,0.043073,16.165130
6.884675,64137.035156,9.793596,7.729067,100.941788,178.194656,1.055479,5377.264626,86924.181722,7.226208,618510.500000,35522.554688,78122.156250,0.000000,0.748520,0.042989,16.165130
6.871189,64136.980469,9.793596,7.717282,100.979149,178.255905,1.055475,5381.228264,86988.254450,7.220879,617996.625000,35477.015625,78184.226562,0.000000,0.747347,0.042903,16.165130
6.856489,64136.933594,9.793596,7.704326,101.020103,178.323486,1.055472,5385.575882,87058.534250,7.215045,617437.750000,35420.750000,78251.507812,0.000000,0.746069,0.042800,16.165130
6.843475,64136.871094,9.793596,7.692772,101.056587,178.383698,1.055468,5389.447753,87121.123560,7.209854,617001.875000,35388.746094,78309.914062,0.000000,0.745007,0.042731,16.165130
6.829826,64136.824219,9.793596,7.680574,101.094978,178.447372,1.055464,5393.525737,87187.044700,7.204398,616592.500000,35345.890625,78370.726562,0.000000,0.743949,0.042647,16.165130
6.815590,64136.769531,9.793596,7.667758,101.135162,178.514313,1.055461,5397.795411,87256.064539,7.198693,616142.187500,35300.503906,78433.312500,0.000000,0.742818,0.042558,16.165130
6.802732,64136.710938,9.793594,7.656082,101.171684,178.575241,1.055457,5401.676314,87318.799839,7.193513,615608.875000,35260.191406,78488.921875,0.000000,0.741642,0.042479,16.165130
6.788482,64136.667969,9.793594,7.643058,101.212311,178.643356,1.055454,5405.997065,87388.645329,7.187759,615191.250000,35212.648438,78550.125000,0.000000,0.740546,0.042388,16.165130
6.775140,64136.605469,9.793594,7.630775,101.250511,178.707504,1.055450,5410.059644,87454.317446,7.182354,614755.875000,35176.636719,78606.351562,0.000000,0.739466,0.042313,16.165130
