AOA,Weight,Gravity,Pitch,TAS,IAS,Rho,Lift,Drag,Thrust[0],Thrust[1],Cl,Cd
7.243159,64138.39063,9.793599,8.006047,99.972481,176.703506,1.055566,631318.875,36679.34375,76012.375,0,0.778843,0.04525
7.230675,64138.33594,9.793597,7.997699,100.007027,176.752502,1.055563,630846.125,36639.49609,76096.03125,0,0.777725,0.04517
7.216458,64138.29297,9.793597,7.98806,100.046135,176.808594,1.05556,630396,36588.73828,76191.39844,0,0.776565,0.045073
7.201381,64138.24219,9.793597,7.977691,100.087387,176.868347,1.055556,629888.75,36538.91797,76292.95313,76191.39844,0.775303,0.044974
7.187772,64138.17578,9.793597,7.968198,100.12455,176.922409,1.055553,629353.4375,36500.10156,76384.8125,0,0.774072,0.044893
7.174716,64138.125,9.793597,7.958982,100.160095,176.974457,1.05555,628888.1875,36460.89063,76473.08594,19.352051,0.772953,0.044813
7.161614,64138.07422,9.793597,7.949634,100.195656,177.026855,1.055547,628482.5,36422.55078,76561.40625,0,0.771908,0.044735
7.147524,64138.02734,9.793597,7.939469,100.233727,177.08342,1.055543,628074.8125,36385.13672,76655.77344,0,0.770824,0.044655
7.134166,64137.96875,9.793597,7.929718,100.269722,177.137192,1.05554,627570.1875,36344.19531,76744.17969,0,0.769655,0.044573
7.120375,64137.92188,9.793597,7.919538,100.306808,177.192947,1.055537,627114.4375,36299.51563,76834.625,0,0.768529,0.044485
7.106886,64137.86719,9.793597,7.90947,100.342995,177.24765,1.055533,626607.6875,36256.07031,76921.64844,0,0.767357,0.0444
7.093595,64137.81641,9.793597,7.899449,100.378578,177.301773,1.05553,626176.1875,36216.30859,77005.83594,0,0.766287,0.04432
7.080406,64137.76563,9.793597,7.8894,100.413849,177.355652,1.055527,625679.375,36172.39063,77087.70313,0,0.765144,0.044235
7.066676,64137.71875,9.793597,7.878835,100.450516,177.412048,1.055524,625208.3125,36126.02734,77171.125,0,0.764012,0.044146
